,Date,Percentage Missing,Minimum Number of Words
0,1798-01-01,0.16873845539413512,1.0
1,1799-01-01,0.47244703335223015,2.0
2,1804-01-01,0.2608572606296211,1.0
3,1805-01-01,0.9215249061481301,2.0
4,1806-01-01,0.9126876509635062,2.0
5,1807-01-01,0.7647507005694942,2.0
6,1808-01-01,0.9520297825835855,1.0
7,1809-01-01,0.6731545774060099,1.0
8,1810-01-01,0.6415635991763757,1.0
9,1811-01-01,0.5927038160247311,1.0
10,1812-01-01,0.34127289626618706,1.0
11,1813-01-01,0.5941850941850957,1.0
12,1814-01-01,0.8530286131909204,1.0
13,1815-01-01,0.3608437400896558,1.0
14,1816-01-01,1.3850505974127736,2.0
15,1817-01-01,1.7908987114663155,2.0
16,1818-01-01,2.8772295800384873,2.0
17,1819-01-01,1.04805917745735,2.0
18,1820-01-01,1.2839216842693402,2.0
19,1821-01-01,1.840027838925229,2.0
20,1822-01-01,0.7181508193692898,1.0
21,1823-01-01,0.5539803299551727,1.0
22,1824-01-01,0.6361842345689595,2.0
23,1825-01-01,0.6303021670232223,2.0
24,1826-01-01,0.0,1.0
25,1827-01-01,0.0,1.0
26,1828-01-01,0.0,1.0
27,1829-01-01,0.0,1.0
28,1830-01-01,0.0,1.0
29,1831-01-01,0.0,1.0
30,1832-01-01,0.0,1.0
31,1833-01-01,0.0,1.0
32,1834-01-01,0.2151954076505036,2.0
33,1835-01-01,0.4007408289919745,2.0
34,1836-01-01,0.04464527523320161,1.0
35,1837-01-01,0.7639647965969609,2.0
36,1838-01-01,0.0,1.0
37,1839-01-01,0.0,1.0
38,1840-01-01,0.36694827216612325,2.0
39,1841-01-01,0.2844436112152682,2.0
40,1842-01-01,0.46163156052049237,1.0
41,1843-01-01,0.1275750840914247,1.0
42,1844-01-01,0.0716823685188217,1.0
43,1845-01-01,0.06314160719675943,1.0
44,1846-01-01,0.002439384348174034,1.0
45,1847-01-01,0.11476272330034343,1.0
46,1848-01-01,0.01865787673362984,1.0
47,1849-01-01,0.0,1.0
48,1850-01-01,0.020159073415682016,1.0
49,1851-01-01,0.6783255149671374,2.0
50,1852-01-01,0.9427892632107082,2.0
51,1853-01-01,0.23798373374545045,1.0
52,1854-01-01,0.682404287568017,2.0
53,1855-01-01,0.4842557895020638,2.0
54,1856-01-01,0.5745328022007334,3.0
55,1857-01-01,0.48680387854419527,3.0
56,1858-01-01,0.6044174064237184,4.0
57,1859-01-01,0.49141102613911025,3.0
58,1860-01-01,0.6552230166060657,4.0
59,1861-01-01,0.414253893288119,3.0
60,1862-01-01,0.3942540738422373,4.0
61,1863-01-01,0.6084840377563738,5.0
62,1864-01-01,0.5017391462347143,5.0
63,1865-01-01,0.5054458861942113,4.0
64,1866-01-01,0.576571084769606,4.0
65,1867-01-01,0.4726790103617984,3.0
66,1868-01-01,0.3296429087375041,4.0
67,1869-01-01,0.33764013853829766,4.0
68,1870-01-01,0.22713570077520506,4.0
69,1871-01-01,0.32324956384442993,5.0
70,1872-01-01,0.3688867337719559,5.0
71,1873-01-01,0.3455551153953351,5.0
72,1874-01-01,0.3723614903934913,5.0
73,1875-01-01,0.38576926016311575,5.0
74,1876-01-01,0.44256287900023006,5.0
75,1877-01-01,0.3492794178581726,6.0
76,1878-01-01,0.4031791907514459,5.0
77,1879-01-01,0.40201727769580975,5.0
78,1880-01-01,0.4698140224697389,6.0
79,1881-01-01,0.40122314841012363,5.0
80,1882-01-01,0.4531882247764796,6.0
81,1883-01-01,0.4432080088875967,5.0
82,1884-01-01,0.4969632131202051,6.0
83,1885-01-01,0.49132500621484887,5.0
84,1886-01-01,0.5207269029164463,6.0
85,1887-01-01,0.4356583562663996,5.0
86,1888-01-01,0.44690051200879655,5.0
87,1889-01-01,0.45794066152631263,5.0
88,1890-01-01,0.5256538405494338,6.0
89,1891-01-01,0.5276254346078812,7.0
90,1892-01-01,0.4487387780372831,7.0
91,1893-01-01,0.44529217997433257,7.0
92,1894-01-01,0.5178446601612596,7.0
93,1895-01-01,0.556592906492881,7.0
94,1896-01-01,0.43492324944950367,7.0
95,1897-01-01,0.4142119556547308,7.0
96,1898-01-01,0.3773050167551917,7.0
97,1899-01-01,0.46069243624148326,7.0
98,1900-01-01,0.4344166818734507,7.0
99,1901-01-01,0.46146594350870984,8.0
100,1902-01-01,0.5233735181384813,7.0
101,1903-01-01,0.4936308355826924,8.0
102,1904-01-01,0.4513650004644876,7.0
103,1905-01-01,0.46507515721195825,7.0
104,1906-01-01,0.46180908739494875,7.0
105,1907-01-01,0.39392040973214026,8.0
106,1908-01-01,0.49857157713789624,8.0
107,1909-01-01,0.4460453292950861,7.0
108,1910-01-01,0.46099163302149027,8.0
109,1911-01-01,0.44244764260128466,8.0
110,1912-01-01,0.4000451735721611,8.0
111,1913-01-01,0.37347156832138184,8.0
112,1914-01-01,0.24343176790985188,6.0
113,1915-01-01,0.2468849532841877,6.0
114,1916-01-01,0.2530813160228407,7.0
