,1812-01-01,1813-01-01,1814-01-01,1815-01-01,1816-01-01,1817-01-01,1818-01-01,1819-01-01,1820-01-01,1821-01-01,1822-01-01,1823-01-01,1824-01-01,1825-01-01,1826-01-01,1827-01-01,1828-01-01,1829-01-01,1830-01-01,1831-01-01,1832-01-01,1833-01-01,1834-01-01,1835-01-01,1836-01-01,1837-01-01,1838-01-01,1839-01-01,1840-01-01,1841-01-01,1842-01-01,1843-01-01,1844-01-01,1845-01-01,1846-01-01,1847-01-01,1848-01-01,1849-01-01,1850-01-01,1851-01-01,1852-01-01,1853-01-01,1854-01-01,1855-01-01,1856-01-01,1857-01-01,1858-01-01,1859-01-01,1860-01-01,1861-01-01,1862-01-01,1863-01-01,1864-01-01,1865-01-01,1866-01-01,1867-01-01,1868-01-01,1869-01-01,1870-01-01,1871-01-01,1872-01-01,1873-01-01,1874-01-01,1875-01-01,1876-01-01,1877-01-01,1878-01-01,1879-01-01,1880-01-01,1881-01-01,1882-01-01,1883-01-01,1884-01-01,1885-01-01,1886-01-01,1887-01-01,1888-01-01,1889-01-01,1890-01-01,1891-01-01,1892-01-01,1893-01-01,1894-01-01,1895-01-01,1896-01-01,1897-01-01,1898-01-01,1899-01-01,1900-01-01,1901-01-01,1902-01-01,1903-01-01,1904-01-01,1905-01-01,1906-01-01,1907-01-01,1908-01-01,1909-01-01,1910-01-01,1911-01-01,1912-01-01,1913-01-01,1914-01-01,1915-01-01,1916-01-01,1917-01-01,1918-01-01,1919-01-01,1920-01-01,1921-01-01,1922-01-01,1923-01-01,1924-01-01,1925-01-01,1926-01-01,1927-01-01,1928-01-01,1929-01-01,1930-01-01,1931-01-01,1932-01-01,1933-01-01,1934-01-01,1935-01-01,1936-01-01,1937-01-01,1938-01-01,1939-01-01,1940-01-01,1941-01-01,1942-01-01,1943-01-01,1944-01-01,1945-01-01,1946-01-01,1947-01-01,1948-01-01,1949-01-01,1950-01-01,1951-01-01,1952-01-01,1953-01-01,1954-01-01,1955-01-01,1956-01-01,1957-01-01,1958-01-01,1959-01-01,1960-01-01,1961-01-01,1962-01-01,1963-01-01,1964-01-01,1965-01-01,1966-01-01,1967-01-01,1968-01-01,1969-01-01,1970-01-01,1971-01-01,1972-01-01,1973-01-01,1974-01-01,1975-01-01,1976-01-01,1977-01-01,1978-01-01,1979-01-01,1980-01-01,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01
autre,4,3,3,5,3,5,5,3,6,5,6,7,5,4,5,6,3,2,3,7,3,6,7,7,6,4,5,6,6,6,5,7,7,8,8,8,7,7,8,8,7,8,8,8,8,9,9,9,8,9,9,9,8,8,8,8,9,8,7,5,6,7,7,7,10,9,8,8,8,9,9,9,9,8,9,9,7,7,9,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,7,9,8,8,7,8,8,9,9,9,9,6,7,6,7,7,7,6,7,8,9,9,9,9,9,9,8,9,8,8,9,8,7,8,9,9,10,10,10,8,9,10,9,9,9,10,8,8,8,8,8,9,8,9,9,9,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,9,8,8,8,7,7,8,8,7,7,6,6,6,6,6,6
conseil,1,2,7,4,7,3,3,2,3,2,1,1,7,8,11,11,10,11,12,14,12,14,11,13,12,11,12,13,12,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,13,14,14,13,13,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,14,14,14,14,14,14,14,14,14,12,10,13,13,13,13,14,14,13,13,13,13,13,13,13,12,12,13,12,12,13,13,13,12,12,12,10,10,9,9,9,11,11,11,11,11,11,11,10,12,11,11,10,11,11,11,11,11,10,10,9,11,11,11,10,11,12,12,12,12,12,12,12,11,11,11,11,12,11,11,10,9,9,9,9,9,9,9,8,8,8,7,8,8,7
contre,8,7,5,6,5,6,7,10,10,9,10,8,9,10,8,8,8,8,6,10,9,8,12,10,8,6,8,10,10,10,11,8,9,10,11,11,11,10,10,10,10,9,10,9,7,8,8,7,7,8,8,8,9,9,9,7,8,10,8,9,10,10,9,10,8,10,10,10,11,10,10,10,10,10,10,10,10,11,10,9,10,11,11,10,10,9,10,11,9,10,10,9,9,9,10,10,11,10,10,11,10,10,11,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,9,10,10,10,9,11,9,10,10,11,10,10,10,10,10,11,11,10,10,10,10,11,10,10,10,10,11,11,11,11,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,11,10,9,9,9,9
donner,12,12,12,13,13,13,12,12,13,14,12,12,12,12,13,13,13,14,13,12,13,11,8,8,9,7,9,11,9,11,10,11,11,9,9,9,8,8,9,9,9,10,9,10,10,10,10,8,9,10,10,10,10,10,10,10,10,9,6,8,8,8,8,8,9,8,9,9,9,8,8,7,8,9,8,8,9,9,8,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,8,7,9,7,8,7,7,8,8,7,8,7,6,7,8,8,8,7,8,7,8,7,7,7,8,8,6,7,7,6,7,6,6,6,7,8,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,6,8,6,5,7,5,4,4,4,4,4,4,4,2,5,4,4,3,3,4,3,3,2,3,2,2,3,2,3,3,2
droite,7,4,2,3,2,2,2,6,4,4,2,3,1,1,3,3,5,7,2,5,4,3,5,3,3,1,6,1,1,3,2,1,2,2,3,7,5,4,5,2,6,4,4,3,2,3,3,2,4,5,5,5,4,6,5,4,4,5,4,6,11,11,10,9,6,7,7,6,6,5,3,5,4,4,5,5,5,6,6,5,5,5,4,5,4,3,3,4,4,4,6,3,4,3,3,4,4,4,4,3,3,4,3,2,5,5,4,5,6,6,4,4,5,5,5,5,4,5,3,3,4,4,3,3,4,2,5,2,1,1,1,1,1,2,5,3,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,3,1,2,2,2,2,1,2,2,2,3,3,5,3,5,5,5,5,2,2,2,3,2,4,3,1,1,1,2,3
encore,3,5,9,9,6,9,9,8,9,10,8,9,10,9,9,10,11,10,8,9,7,9,10,11,10,12,10,12,13,12,12,12,12,11,12,10,10,12,11,11,11,12,12,12,11,11,12,11,10,11,11,11,11,11,11,11,11,11,11,10,9,9,11,12,11,12,11,11,12,11,11,11,11,11,12,11,11,10,11,11,11,10,10,11,11,11,9,10,11,11,11,11,10,10,9,11,10,11,11,10,11,11,10,11,10,9,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,10,10,10,10,10,10,9,10,10,10,10,11,11,10,11,11,10,10,10,10,10,9,10,11,11,11
france,5,6,10,14,10,11,11,11,8,6,9,10,6,5,1,2,2,3,10,3,5,5,9,9,11,8,11,9,11,7,6,5,8,5,4,4,6,5,6,7,8,7,6,5,5,4,7,10,11,7,6,7,6,5,7,9,5,2,10,12,7,6,6,4,3,3,2,3,3,7,7,8,6,6,6,6,6,5,4,6,6,6,6,6,5,4,6,6,3,3,3,4,3,6,6,2,5,3,3,6,4,3,6,8,7,8,8,8,9,9,9,10,9,9,6,6,6,6,6,7,7,6,6,7,8,7,9,9,8,6,5,4,6,9,8,8,8,7,7,8,9,10,9,9,9,8,9,8,8,8,8,8,8,8,8,8,8,7,5,6,6,4,6,6,6,7,6,6,6,6,6,6,6,7,7,6,6,7,7,6,6,7,7,8,7,7,8
jour,6,8,6,7,4,4,6,4,5,7,5,5,3,6,6,5,6,6,5,4,6,4,4,6,4,5,3,3,5,5,7,6,5,4,7,5,4,6,7,6,5,5,5,6,4,6,5,5,5,4,4,4,5,4,4,5,6,6,5,4,3,4,3,3,4,5,4,4,4,3,4,4,5,5,3,4,4,4,5,4,4,4,5,4,6,6,5,5,6,6,5,6,5,4,5,5,6,5,6,4,5,5,4,3,3,4,3,4,5,5,5,5,4,4,4,4,3,4,4,4,3,3,4,4,3,4,1,4,5,3,4,5,4,4,3,5,5,5,5,5,4,4,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,8,7,7,7,6,5,5,5,4,2,2,2,2,2,3,4,4,4,4,5,5,4,3,5,5,5
lausanne,11,10,11,10,12,12,14,14,12,13,14,14,14,14,12,12,12,12,11,11,10,10,1,2,7,13,7,7,2,2,3,3,3,6,2,2,1,1,1,4,1,3,1,1,3,2,1,3,1,1,1,6,2,1,1,1,2,4,3,3,5,5,4,6,5,4,5,7,7,6,6,6,7,7,7,7,8,8,7,10,9,9,9,9,9,10,11,9,10,9,9,10,14,12,12,8,7,9,9,9,9,7,5,6,6,10,10,9,1,3,6,8,6,6,7,8,8,8,7,6,9,8,9,9,6,9,8,7,6,7,8,8,7,7,7,7,7,8,8,7,7,7,7,7,7,7,6,6,7,7,6,6,6,6,6,6,4,6,8,7,8,6,5,5,5,3,7,7,7,7,7,7,7,6,6,8,8,6,6,8,11,12,11,11,10,10,10
mois,13,14,8,8,9,8,8,7,7,8,7,6,8,7,7,7,7,4,4,2,2,2,6,4,1,2,2,5,4,4,4,4,4,3,5,3,3,3,4,3,3,1,2,4,9,5,4,4,3,3,3,2,3,3,3,3,3,3,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,4,3,5,2,2,1,1,1,2,1,1,2,5,3,5,5,5,5,5,5,2,5,2,3,4,4,3,3,2,1,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,7,8,5,7,8,8,8,8,9,10,9,9,9,8,9,10,11,10,10,11,11,11,9,9,12,12,12,12,12
